2025-04-15 17:19:59 status unpacked mawk:arm64 1.3.4.20250131-1
2025-04-15 17:19:59 install mount:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:19:59 status half-installed mount:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:59 status unpacked mount:arm64 2.40.2-14ubuntu1
2025-04-15 17:19:59 install ncurses-base:all <none> 6.5+20250216-2
2025-04-15 17:19:59 status half-installed ncurses-base:all 6.5+20250216-2
2025-04-15 17:19:59 status unpacked ncurses-base:all 6.5+20250216-2
2025-04-15 17:19:59 install ncurses-bin:arm64 <none> 6.5+20250216-2
2025-04-15 17:19:59 status half-installed ncurses-bin:arm64 6.5+20250216-2
2025-04-15 17:19:59 status unpacked ncurses-bin:arm64 6.5+20250216-2
2025-04-15 17:19:59 install openssl-provider-legacy:arm64 <none> 3.4.1-1ubuntu3
2025-04-15 17:19:59 status half-installed openssl-provider-legacy:arm64 3.4.1-1ubuntu3
2025-04-15 17:19:59 status unpacked openssl-provider-legacy:arm64 3.4.1-1ubuntu3
2025-04-15 17:19:59 install passwd:arm64 <none> 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 status half-installed passwd:arm64 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 status unpacked passwd:arm64 1:4.16.0-7ubuntu1
2025-04-15 17:19:59 upgrade perl-base:arm64 5.40.1-2 5.40.1-2
2025-04-15 17:19:59 status half-configured perl-base:arm64 5.40.1-2
2025-04-15 17:19:59 status unpacked perl-base:arm64 5.40.1-2
2025-04-15 17:19:59 status half-installed perl-base:arm64 5.40.1-2
2025-04-15 17:20:00 status unpacked perl-base:arm64 5.40.1-2
2025-04-15 17:20:00 install procps:arm64 <none> 2:4.0.4-7ubuntu1
2025-04-15 17:20:00 status half-installed procps:arm64 2:4.0.4-7ubuntu1
2025-04-15 17:20:00 status unpacked procps:arm64 2:4.0.4-7ubuntu1
2025-04-15 17:20:00 install sed:arm64 <none> 4.9-2build1
2025-04-15 17:20:00 status half-installed sed:arm64 4.9-2build1
2025-04-15 17:20:00 status unpacked sed:arm64 4.9-2build1
2025-04-15 17:20:00 install sensible-utils:all <none> 0.0.24
2025-04-15 17:20:00 status half-installed sensible-utils:all 0.0.24
2025-04-15 17:20:00 status unpacked sensible-utils:all 0.0.24
2025-04-15 17:20:00 install sysvinit-utils:arm64 <none> 3.14-1ubuntu1
2025-04-15 17:20:00 status half-installed sysvinit-utils:arm64 3.14-1ubuntu1
2025-04-15 17:20:00 status unpacked sysvinit-utils:arm64 3.14-1ubuntu1
2025-04-15 17:20:00 install tar:arm64 <none> 1.35+dfsg-3.1
2025-04-15 17:20:00 status half-installed tar:arm64 1.35+dfsg-3.1
2025-04-15 17:20:00 status unpacked tar:arm64 1.35+dfsg-3.1
2025-04-15 17:20:00 install util-linux:arm64 <none> 2.40.2-14ubuntu1
2025-04-15 17:20:00 status half-installed util-linux:arm64 2.40.2-14ubuntu1
2025-04-15 17:20:00 status unpacked util-linux:arm64 2.40.2-14ubuntu1
2025-04-15 17:20:00 install zlib1g:arm64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:20:00 status half-installed zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:20:00 status unpacked zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-04-15 17:20:00 startup packages configure
2025-04-15 17:20:00 configure gcc-14-base:arm64 14.2.0-19ubuntu2 <none>
2025-04-15 17:20:00 status unpacked gcc-14-base:arm64 14.2.0-19ubuntu2
2025-04-15 17:20:00 status half-configured gcc-14-base:arm64 14.2.0-19ubuntu2
2025-04-15 17:20:00 status installed gcc-14-base:arm64 14.2.0-19ubuntu2
2025-04-15 17:20:00 configure login.defs:all 1:4.16.0-7ubuntu1 <none>
2025-04-15 17:20:00 status unpacked login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:20:00 status half-configured login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:20:00 status installed login.defs:all 1:4.16.0-7ubuntu1
2025-04-15 17:20:00 configure libaudit-common:all 1:4.0.2-2ubuntu2 <none>
2025-04-15 17:20:00 status unpacked libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:20:00 status half-configured libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:20:00 status installed libaudit-common:all 1:4.0.2-2ubuntu2
2025-04-15 17:20:00 configure libsemanage-common:all 3.7-2.1build1 <none>
2025-04-15 17:20:00 status unpacked libsemanage-common:all 3.7-2.1build1
2025-04-15 17:20:00 status half-configured libsemanage-common:all 3.7-2.1build1
2025-04-15 17:20:00 status installed libsemanage-common:all 3.7-2.1build1
2025-04-15 17:20:00 configure debconf:all 1.5.87ubuntu1 <none>
2025-04-15 17:20:00 status unpacked debconf:all 1.5.87ubuntu1
2025-04-15 17:20:00 status half-configured debconf:all 1.5.87ubuntu1
2025-04-15 17:20:00 status installed debconf:all 1.5.87ubuntu1
2025-04-15 17:20:00 configure ncurses-base:all 6.5+20250216-2 <none>
2025-04-15 17:20:00 status unpacked ncurses-base:all 6.5+20250216-2
2025-04-15 17:20:00 status half-configured ncurses-base:all 6.5+20250216-2
2025-04-15 17:20:00 status installed ncurses-base:all 6.5+20250216-2
2025-04-15 17:20:00 configure init-system-helpers:all 1.68 <none>
2025-04-15 17:20:00 status unpacked init-system-helpers:all 1.68
2025-04-15 17:20:00 status half-configured init-system-helpers:all 1.68
2025-04-15 17:20:00 status installed init-system-helpers:all 1.68
2025-04-15 17:20:00 configure sensible-utils:all 0.0.24 <none>
2025-04-15 17:20:00 status unpacked sensible-utils:all 0.0.24
2025-04-15 17:20:00 status half-configured sensible-utils:all 0.0.24
2025-04-15 17:20:00 status installed sensible-utils:all 0.0.24
2025-04-15 17:20:00 configure gcc-15-base:arm64 15-20250404-0ubuntu1 <none>
2025-04-15 17:20:00 status unpacked gcc-15-base:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 status half-configured gcc-15-base:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 status installed gcc-15-base:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 configure libgcc-s1:arm64 15-20250404-0ubuntu1 <none>
2025-04-15 17:20:00 status unpacked libgcc-s1:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 status half-configured libgcc-s1:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 status installed libgcc-s1:arm64 15-20250404-0ubuntu1
2025-04-15 17:20:00 configure libc6:arm64 2.41-6ubuntu1 <none>
2025-04-15 17:20:00 status unpacked libc6:arm64 2.41-6ubuntu1
2025-04-15 17:20:00 status half-configured libc6:arm64 2.41-6ubuntu1
2025-04-15 17:20:00 status installed libc6:arm64 2.41-6ubuntu1
2025-04-15 17:20:00 configure libdb5.3t64:arm64 5.3.28+dfsg2-9 <none>
2025-04-15 17:20:00 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-04-15 17:20:00 status half-configured libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-04-15 17:20:00 status installed libdb5.3t64:arm64 5.3.28+dfsg2-9
2025-04-15 17:20:00 configure libmd0:arm64 1.1.0-2build2 <none>
2025-04-15 17:20:00 status unpacked libmd0:arm64 1.1.0-2build2
2025-04-15 17:20:00 status half-configured libmd0:arm64 1.1.0-2build2
2025-04-15 17:20:00 status installed libmd0:arm64 1.1.0-2build2
2025-04-15 17:20:00 configure libattr1:arm64 1:2.5.2-3 <none>
2025-04-15 17:20:00 status unpacked libattr1:arm64 1:2.5.2-3
2025-04-15 17:20:00 status half-configured libattr1:arm64 1:2.5.2-3
2025-04-15 17:20:00 status installed libattr1:arm64 1:2.5.2-3
2025-04-15 17:20:00 configure sysvinit-utils:arm64 3.14-1ubuntu1 <none>
2025-04-15 17:20:00 status unpacked sysvinit-utils:arm64 3.14-1ubuntu1
2025-04-15 17:20:00 status half-configured sysvinit-utils:arm64 3.14-1ubuntu1
2025-04-15 17:20:00 status installed sysvinit-utils:arm64 3.14-1ubuntu1
2025-04-15 17:20:00 configure libext2fs2t64:arm64 1.47.2-1ubuntu1 <none>
2025-04-15 17:20:00 status unpacked libext2fs2t64:arm64 1.47.2-1ubuntu1
2025-04-15 17:20:00 status half-configured libext2fs2t64:arm64 1.47.2-1ubuntu1
2025-04-15 17:20:00 status installed libext2fs2t64:arm64 1.47.2-1ubuntu1
2025-04-15 17:20:00 configure debianutils:arm64 5.21 <none>
2025-04-15 17:20:00 status unpacked debianutils:arm64 5.21
